Date	Open	High	Low	Close	Volume
2015-05-28	16.72	16.73	16.58	16.67	60303400
2015-05-27	16.56	16.75	16.54	16.74	69430100
2015-05-26	16.73	16.73	16.43	16.50	74908300
2015-05-22	16.72	16.80	16.70	16.75	46183200
2015-05-21	16.71	16.75	16.56	16.73	51808900
2015-05-20	16.78	16.85	16.63	16.74	67134900
2015-05-19	16.59	16.78	16.58	16.77	88083700
2015-05-18	16.31	16.54	16.31	16.51	50876000
2015-05-15	16.52	16.52	16.30	16.35	54648600
2015-05-14	16.53	16.59	16.45	16.52	55194900
2015-05-13	16.44	16.52	16.36	16.47	46711700
2015-05-12	16.46	16.48	16.35	16.43	59332000
2015-05-11	16.45	16.59	16.43	16.49	55685200
2015-05-08	16.32	16.46	16.22	16.45	86087100
2015-05-07	16.23	16.33	16.09	16.24	73152300
2015-05-06	16.36	16.49	16.08	16.29	96151900
2015-05-05	16.42	16.61	16.33	16.35	105671000
2015-05-04	16.14	16.45	16.12	16.44	76288500
2015-05-01	16.00	16.15	15.92	16.11	77700500
2015-04-30	16.00	16.05	15.80	15.93	76878400
2015-04-29	15.60	16.04	15.57	15.98	123731600
2015-04-28	15.58	15.71	15.50	15.65	57379000
2015-04-27	15.63	15.76	15.56	15.56	52663200
2015-04-24	15.71	15.75	15.61	15.64	40424400
2015-04-23	15.72	15.80	15.68	15.69	50157000
2015-04-22	15.55	15.83	15.49	15.74	72909800
2015-04-21	15.60	15.64	15.43	15.50	63403100
2015-04-20	15.62	15.69	15.56	15.57	53649400
2015-04-17	15.71	15.75	15.50	15.56	88591800
2015-04-16	15.64	15.94	15.58	15.79	104518300
2015-04-15	15.70	15.85	15.59	15.64	123396900
2015-04-14	15.88	15.95	15.71	15.82	84385400
2015-04-13	15.78	15.86	15.74	15.80	49191200
2015-04-10	15.69	15.79	15.60	15.72	43817700
2015-04-09	15.63	15.76	15.53	15.71	44935600
2015-04-08	15.51	15.74	15.50	15.61	71732500
2015-04-07	15.53	15.65	15.45	15.46	50057800
2015-04-06	15.39	15.60	15.34	15.51	51189500
2015-04-02	15.43	15.62	15.43	15.54	50443500
2015-04-01	15.42	15.46	15.25	15.41	73153900
2015-03-31	15.50	15.52	15.38	15.39	61381700
2015-03-30	15.42	15.61	15.40	15.52	70835300
2015-03-27	15.48	15.49	15.27	15.31	73140800
2015-03-26	15.39	15.54	15.26	15.42	76741500
2015-03-25	15.63	15.65	15.40	15.41	88541500
2015-03-24	15.73	15.80	15.61	15.61	77011000
2015-03-23	15.82	15.88	15.72	15.72	73773500
2015-03-20	15.70	15.93	15.64	15.84	99867700
2015-03-19	15.96	15.97	15.61	15.61	109169200
2015-03-18	16.01	16.10	15.91	15.98	86387600
2015-03-17	16.07	16.12	15.96	16.09	67315000
2015-03-16	16.11	16.22	15.85	16.13	63406500
2015-03-13	16.08	16.15	15.94	16.09	88581900
2015-03-12	16.05	16.21	15.90	16.09	126376300
2015-03-11	15.92	16.16	15.87	16.11	85910100
2015-03-10	16.04	16.13	15.79	15.79	85633600
2015-03-09	16.31	16.33	16.12	16.17	72912700
2015-03-06	16.00	16.62	16.00	16.22	163207200
2015-03-05	15.92	16.03	15.75	16.00	69510000
2015-03-04	15.96	15.98	15.76	15.84	78441600
2015-03-03	16.03	16.15	15.96	16.04	65689800
2015-03-02	15.79	16.03	15.72	16.01	71402400
2015-02-27	15.78	15.88	15.62	15.81	130448200
2015-02-26	16.42	16.44	15.90	16.04	161100700
2015-02-25	16.37	16.50	16.32	16.49	57201000
2015-02-24	16.27	16.55	16.25	16.38	74109600
2015-02-23	16.32	16.32	16.10	16.20	87623700
2015-02-20	16.14	16.43	16.01	16.38	89763600
2015-02-19	16.21	16.38	16.08	16.21	83604300
2015-02-18	16.55	16.56	16.24	16.30	84057400
2015-02-17	16.52	16.68	16.37	16.63	93350600
2015-02-13	16.73	16.79	16.54	16.61	93632700
2015-02-12	16.41	16.73	16.37	16.67	116394100
2015-02-11	16.33	16.45	16.21	16.36	99924400
2015-02-10	16.56	16.62	16.35	16.42	100322800
2015-02-09	16.35	16.50	16.25	16.35	95532900
2015-02-06	16.30	16.75	16.22	16.49	154352900
2015-02-05	15.98	16.09	15.90	15.97	92264700
2015-02-04	15.79	16.00	15.75	15.79	83848100
2015-02-03	15.62	15.93	15.61	15.89	105159400
2015-02-02	15.27	15.49	15.12	15.46	101586700
